ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-10.94,18.37,6.75,-2.84,1.56,0.18,-31.77,-1.07,-68.93,69770
1.74,-0.15,-10.92,0.88,1.31,-0.49,8.55,22.03,-64.91,69904
-3.72,2.84,-11.16,-1.00,-0.81,0.35,4.56,13.52,-67.17,70038
0.20,17.37,-18.64,-3.25,5.27,0.90,17.54,27.39,-42.12,70171
-1.70,3.95,-2.93,2.56,-4.00,3.55,16.47,24.54,-44.59,70305
-2.99,6.09,-2.23,2.35,-1.31,1.06,14.06,6.55,-62.01,70439
-3.74,9.45,-4.60,1.83,-1.41,-1.20,5.16,-7.80,-68.77,70573
-1.12,13.97,1.24,-2.07,5.31,-4.96,19.32,-3.87,-63.26,70707
8.26,17.27,1.91,1.21,-1.07,0.88,31.16,13.86,-50.42,70840
-4.73,6.97,-4.63,-0.99,-0.10,-0.00,33.98,12.88,-41.52,70974
-3.45,8.23,-3.58,-0.11,-1.19,-0.12,30.93,11.34,-43.35,71108
-0.61,10.47,-1.51,-0.78,-0.35,-0.98,22.49,11.47,-44.33,71242
-4.15,6.23,-5.12,-1.66,1.57,-1.02,14.95,23.95,-33.89,71375
2.23,20.23,3.93,0.04,0.72,3.10,19.23,30.90,-33.76,71509
-13.28,7.37,-7.59,8.66,-8.72,-0.16,3.84,5.17,-70.96,71643
3.43,17.05,-4.86,0.17,-0.65,0.86,-20.86,-10.61,-76.28,71777
1.07,10.53,-39.16,-0.81,5.31,-5.40,-7.04,8.83,-75.69,71911
0.82,29.75,1.00,1.88,-4.91,5.26,7.38,11.65,-79.06,72044
-4.92,15.20,-5.57,-5.62,3.39,-0.35,13.86,26.38,-69.37,72178
-5.79,4.30,-7.59,0.23,-0.68,0.97,33.25,27.74,-43.85,72312
-2.85,7.15,-3.62,2.85,-2.06,2.88,26.07,3.43,-54.55,72446
-3.38,10.62,-2.28,1.65,0.92,-0.43,25.50,-7.91,-55.67,72580
-4.14,11.45,-1.84,1.48,0.79,-2.34,38.80,-12.47,-58.49,72713
-0.30,10.70,-2.90,0.64,1.37,-1.88,54.41,-17.68,-48.00,72847
-1.11,10.01,-2.36,0.43,0.24,-0.82,64.41,-15.29,-26.60,72981
9.85,12.26,-4.32,-1.18,0.57,-1.98,69.63,-14.26,-17.06,73115
-4.32,7.69,-4.91,-0.76,-0.46,0.02,67.95,-33.05,-5.96,73249
-3.72,8.73,-2.36,-0.01,-0.57,-0.45,60.07,-39.92,-6.17,73382
-2.67,8.08,-4.00,-0.41,-0.34,-0.74,52.79,-38.88,-9.91,73516
-3.87,8.80,-2.40,-0.29,-0.35,-0.62,47.43,-33.89,-14.24,73650
-2.59,8.93,-1.86,-0.22,-0.46,0.13,42.05,-30.25,-22.04,73784
2.62,12.85,-2.49,-0.17,-0.75,0.71,34.22,-27.08,-30.34,73917
-7.17,9.91,-5.32,-1.44,-2.01,0.33,27.30,-20.67,-38.35,74051
-3.85,-1.04,-3.61,-0.14,1.59,-0.37,31.77,-13.08,-31.50,74185
-4.97,7.30,-2.16,2.90,0.51,1.99,34.64,-24.89,-24.51,74319
-10.26,6.12,-1.76,1.14,-1.95,0.74,36.39,-37.42,-7.64,74453
-2.07,12.82,1.72,-2.25,0.50,-1.24,32.39,-44.20,-8.56,74586
-6.41,4.79,-5.13,-0.19,-3.16,0.35,23.46,-50.56,-14.03,74720
-1.44,8.30,-6.20,-0.53,-1.18,-0.11,25.05,-48.67,-20.39,74854
-3.09,7.68,-4.98,0.06,-1.68,0.59,22.24,-46.58,-25.08,74988
-1.45,9.51,-3.41,0.23,-1.67,0.68,15.92,-44.15,-26.09,75122
-1.79,9.06,-2.84,0.17,-1.37,0.72,9.79,-40.87,-25.78,75255
-1.98,8.45,-2.83,-0.27,-0.81,0.24,6.34,-37.36,-27.02,75389
-6.10,9.13,0.98,1.05,-0.80,0.56,1.34,-35.15,-26.22,75523
-3.32,7.68,-5.57,0.15,-0.93,-0.05,-1.70,-33.25,-25.18,75657
-1.22,9.69,-2.30,-0.58,-0.30,-0.49,-2.48,-30.06,-26.79,75791
-2.60,9.13,-1.70,-0.76,0.01,-0.66,-1.89,-29.74,-29.20,75924
0.75,10.19,0.86,-1.05,1.13,0.36,-0.85,-32.43,-30.72,76058
0.78,8.49,-3.26,-1.60,2.72,0.13,0.54,-38.63,-37.21,76192
-4.98,8.23,-0.08,-0.19,0.92,-0.59,3.62,-40.73,-41.23,76326
-3.62,9.02,0.76,-0.10,0.34,0.07,2.10,-42.08,-42.39,76459
-3.77,8.24,0.54,-0.11,0.34,0.15,0.50,-41.29,-44.40,76593
