ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
10.94,-2.12,0.43,0.04,-0.11,1.45,19.66,-41.29,-36.44,83295123
10.50,-3.15,1.87,-0.93,-0.27,1.62,17.85,-41.73,-38.38,83295157
9.62,2.51,-1.12,-0.25,-0.13,1.20,16.18,-42.68,-38.64,83295191
8.54,2.98,-6.32,-0.10,-0.45,1.06,14.92,-42.98,-38.63,83295225
9.63,3.11,1.03,-0.29,0.13,1.08,13.78,-43.31,-39.86,83295259
8.87,0.48,-8.29,-0.44,-1.09,0.98,11.94,-43.91,-39.67,83295293
8.58,4.43,-3.95,-1.63,-1.47,1.75,9.92,-43.07,-41.96,83295328
7.71,0.67,0.26,-1.29,-1.36,1.32,7.32,-43.19,-44.07,83295362
3.41,4.25,0.09,0.09,-0.77,0.38,5.93,-42.82,-44.18,83295396
15.33,6.08,-18.51,-3.87,-1.02,-0.24,6.81,-41.61,-45.94,83295430
14.59,-17.66,-2.99,-0.53,0.13,-1.80,8.89,-40.18,-46.58,83295464
8.44,-6.84,-3.01,-0.63,-0.57,-0.17,9.44,-40.08,-46.86,83295499
13.59,-2.73,1.27,-0.32,-0.69,0.40,8.94,-40.43,-47.56,83295533
11.18,-1.57,0.89,-0.37,-0.23,0.62,8.30,-40.03,-48.07,83295567
8.62,1.99,-3.28,-0.13,-0.46,0.40,7.53,-39.84,-48.48,83295601
9.49,3.29,-0.99,-0.46,-0.63,0.52,5.80,-39.33,-49.28,83295635
9.80,2.45,-2.12,-0.06,-0.47,0.02,5.64,-39.52,-49.15,83295669
8.30,2.28,-3.19,-0.83,-0.29,-0.13,5.50,-38.88,-49.53,83295704
8.86,1.47,-1.80,-0.94,-0.40,-0.13,5.13,-38.41,-50.69,83295738
9.91,-0.03,-4.65,-0.58,-0.28,-0.15,5.42,-37.61,-51.49,83295772
8.51,0.15,-2.99,-0.24,-0.33,-0.09,4.85,-37.43,-51.46,83295806
9.77,-0.24,-2.09,-0.04,-0.19,-0.03,4.97,-36.86,-51.96,83295840
9.05,1.49,-3.60,0.19,-0.11,-0.11,4.66,-36.79,-51.77,83295875
8.77,2.52,-3.63,0.12,-0.08,-0.24,4.76,-36.61,-52.15,83295909
9.30,3.17,-3.28,-0.16,0.02,-0.49,5.00,-36.17,-51.91,83295943
8.89,2.15,-2.83,-0.40,0.13,-0.87,5.93,-36.00,-52.06,83295977
9.11,0.60,-1.70,-0.25,0.21,-0.99,6.72,-35.37,-52.47,83296011
9.43,0.01,-1.41,-0.13,0.05,-0.95,7.89,-34.80,-52.37,83296045
10.26,-2.55,1.06,-0.39,-0.24,-0.69,8.74,-34.13,-52.84,83296080
10.61,-2.32,-0.49,-0.37,-0.34,-0.30,8.52,-34.05,-53.35,83296114
9.60,-0.22,-2.35,-0.54,-0.58,0.16,7.69,-33.63,-53.73,83296148
10.70,-2.75,-4.26,-1.00,-0.79,0.31,6.55,-32.68,-54.68,83296182
7.77,1.25,-2.07,-0.56,-0.63,0.43,5.85,-31.98,-55.66,83296216
7.20,4.84,-2.64,-0.23,-0.36,0.46,4.79,-32.04,-55.89,83296250
10.86,7.06,-1.73,-0.13,-0.26,0.51,4.15,-31.91,-56.12,83296285
8.12,5.41,-3.58,-0.01,0.15,0.17,4.22,-31.57,-56.02,83296319
8.66,4.48,-3.41,0.07,0.10,-0.04,4.56,-31.61,-55.96,83296353
9.16,3.37,-1.76,0.04,0.07,0.05,4.49,-32.14,-56.37,83296387
8.94,2.76,-2.59,0.27,0.09,-0.02,4.38,-32.17,-55.45,83296421
8.92,2.00,-3.51,0.28,0.06,0.20,4.76,-32.59,-55.32,83296456
9.89,1.68,-3.61,0.44,0.11,0.23,4.84,-32.97,-54.90,83296490
9.40,1.24,-3.51,0.54,0.16,0.30,4.63,-33.21,-55.16,83296524
9.11,1.07,-2.24,0.57,0.17,0.38,5.09,-34.04,-54.76,83296558
10.23,1.25,-1.22,0.67,0.17,0.42,4.63,-34.23,-53.26,83296592
8.87,1.95,-2.74,0.22,0.04,0.41,4.27,-34.64,-54.05,83296626
8.83,2.37,-1.99,-0.11,-0.07,0.35,4.72,-34.57,-53.93,83296661
8.16,4.45,-2.36,-0.06,0.09,0.09,4.57,-34.61,-54.02,83296695
7.05,7.62,-3.89,-0.05,0.13,-0.29,4.93,-34.39,-53.20,83296729
7.77,9.30,-4.07,0.21,0.11,-0.77,5.71,-33.76,-53.35,83296763
6.06,12.37,-3.47,0.77,0.27,-1.61,6.96,-33.86,-52.69,83296797
13.26,4.64,0.22,0.05,0.08,-1.72,8.93,-33.63,-51.62,83296832
10.13,2.82,1.80,1.63,0.03,-2.19,11.21,-33.53,-51.21,83296866
11.22,-2.26,4.17,1.84,0.44,-1.52,12.58,-33.76,-49.88,83296900
13.63,-4.78,2.29,1.88,0.39,-0.96,14.64,-34.77,-48.39,83296934
11.58,-3.37,0.95,1.26,0.33,-0.35,15.19,-35.84,-47.63,83296968
10.51,-0.10,-0.41,0.77,0.21,0.14,15.46,-36.52,-45.72,83297002
10.09,0.18,-1.21,0.44,0.09,0.20,15.48,-36.77,-45.69,83297037
10.97,-1.13,-1.56,-0.09,-0.06,0.36,14.70,-36.83,-45.88,83297071
9.61,-1.96,-3.07,-0.02,-0.13,0.55,14.97,-37.01,-46.24,83297105
10.94,-1.04,-0.77,-0.04,-0.13,0.88,13.90,-37.43,-46.23,83297139
10.17,1.30,-0.14,0.21,-0.02,0.52,13.75,-38.07,-46.07,83297173
10.19,-0.79,-0.46,-0.24,-0.22,0.79,12.67,-38.42,-46.14,83297208
10.16,1.26,-1.21,-0.30,-0.18,1.76,11.53,-39.01,-46.77,83297242
11.25,9.80,-5.02,-1.47,0.01,1.93,9.24,-39.11,-47.50,83297276
8.66,9.53,-3.03,-3.00,0.16,0.05,8.18,-36.42,-50.64,83297310
7.17,3.38,-10.24,-4.76,-0.63,-0.36,8.80,-31.53,-54.71,83297344
10.95,3.88,1.50,-3.68,-0.53,-0.09,8.02,-27.14,-57.31,83297378
9.89,7.35,0.31,-1.37,-0.22,-1.48,8.10,-24.12,-58.29,83297413
8.05,8.23,-2.76,-2.15,0.15,-1.85,9.44,-21.41,-58.73,83297447
6.95,4.93,-0.37,-3.42,0.04,-1.82,10.27,-16.66,-59.43,83297481
6.03,3.62,1.14,-2.71,0.16,-1.65,10.83,-11.91,-59.02,83297515
3.11,4.25,-0.12,-0.74,0.26,-1.40,11.62,-9.59,-59.38,83297549
1.11,2.43,-1.53,-0.16,-0.33,-0.68,11.96,-8.58,-59.15,83297583
14.74,-5.93,10.86,-0.01,-1.15,2.77,11.41,-9.73,-58.36,83297618
37.58,-2.37,-6.80,0.31,-1.56,2.16,10.74,-11.03,-59.27,83297652
5.71,17.64,-11.48,0.58,-0.49,-0.88,9.63,-10.42,-56.28,83297686
14.03,-4.82,-4.30,-1.62,-0.77,0.48,9.65,-8.24,-59.66,83297720
9.06,-0.30,-7.41,-1.04,-0.46,0.04,9.12,-7.66,-60.25,83297754
8.46,6.09,-6.97,-0.90,-0.47,-0.49,8.17,-6.37,-60.03,83297789
8.64,3.29,2.12,-0.60,-0.39,-1.03,7.79,-4.57,-60.01,83297823
10.58,1.84,-3.11,-0.71,-0.11,-1.82,7.37,-3.24,-59.72,83297857
10.14,1.79,-3.13,-1.08,-0.18,-1.85,7.09,-1.67,-59.70,83297891
14.68,2.70,-3.91,-1.39,-0.36,-1.39,6.33,0.98,-59.32,83297925
17.35,4.20,-2.16,-1.12,-0.11,-1.54,5.83,2.82,-58.49,83297959
17.34,5.52,-9.06,-0.93,0.40,-0.77,5.55,4.11,-57.45,83297994
1.28,12.87,6.63,0.55,1.22,1.44,7.45,3.14,-57.31,83298028
3.91,15.92,-6.34,1.67,0.70,-2.53,7.99,1.72,-57.15,83298062
5.38,-8.75,2.50,4.27,1.12,-1.24,8.65,-0.91,-58.07,83298096
4.75,3.11,-0.23,5.50,0.79,-0.89,10.11,-8.86,-59.16,83298130
5.51,2.39,-1.72,4.94,0.48,-0.58,10.64,-13.86,-58.73,83298165
4.43,6.52,-3.36,3.08,0.22,0.11,11.36,-18.23,-57.64,83298199
6.00,8.12,-3.64,1.73,-0.16,0.23,11.34,-21.62,-57.72,83298233
6.87,4.15,-2.45,0.81,-0.20,0.44,10.95,-22.42,-57.37,83298267
6.96,4.71,-3.29,0.94,-0.21,0.33,10.80,-24.20,-56.28,83298301
9.12,2.17,-2.08,0.57,-0.16,0.50,9.95,-25.14,-55.63,83298335
13.89,3.32,-2.14,-0.52,-0.09,0.49,10.20,-26.12,-55.52,83298370
4.98,-3.14,-6.04,-3.09,-0.25,1.03,10.48,-23.46,-57.06,83298404
5.71,8.27,-2.24,-1.74,-0.57,-0.10,10.17,-22.52,-57.47,83298438
8.28,8.27,-0.45,-1.78,-0.59,-0.08,9.53,-18.99,-57.80,83298472
10.77,2.49,2.35,-1.43,-0.16,0.12,9.22,-17.28,-58.58,83298506
8.23,7.09,2.57,-0.37,0.34,0.45,9.44,-17.09,-58.89,83298541
7.64,6.69,0.09,0.77,1.05,0.70,10.39,-18.08,-57.63,83298575
5.75,6.62,-3.07,1.37,1.46,0.56,11.79,-19.67,-56.84,83298609
7.50,4.66,-3.60,1.74,1.58,0.16,13.65,-22.01,-55.16,83298643
7.88,5.51,-3.51,1.89,1.50,-0.11,15.55,-24.41,-54.00,83298677
9.01,3.12,-2.42,1.95,1.51,-0.18,17.64,-26.34,-52.84,83298711
9.04,4.65,-3.82,2.28,1.59,-0.37,19.31,-28.94,-49.96,83298746
6.35,1.50,-2.22,1.61,1.43,0.11,20.71,-30.14,-48.06,83298780
10.37,-3.49,0.95,1.43,1.16,0.74,20.58,-32.43,-45.06,83298814
13.58,-5.55,2.11,1.95,1.29,1.73,20.56,-34.86,-42.66,83298848
14.06,-0.14,0.79,3.55,1.89,1.51,20.67,-37.75,-39.18,83298882
10.40,-0.50,-9.45,4.38,2.19,0.83,19.94,-41.82,-31.73,83298916
7.91,1.78,-13.76,4.19,1.97,-0.20,20.65,-42.79,-25.08,83298951
7.64,2.77,-10.78,3.35,1.36,0.12,20.27,-43.15,-19.77,83298985
11.92,2.72,0.80,2.53,1.03,-0.20,19.66,-42.43,-15.80,83299019
7.90,-0.70,-3.60,3.85,1.65,-0.37,19.12,-42.01,-11.20,83299053
7.94,4.42,-7.81,4.47,1.85,-0.65,18.01,-39.10,-4.97,83299087
11.69,3.21,-6.95,4.10,1.73,-0.95,18.06,-35.43,-0.07,83299122
5.67,4.93,-6.30,3.11,1.18,-1.03,17.29,-31.63,4.12,83299156
7.85,2.98,-2.94,3.07,1.11,-0.83,16.62,-28.27,5.86,83299190
9.25,7.57,-2.10,3.29,1.24,-0.57,15.48,-24.60,9.08,83299224
6.91,7.03,-6.57,2.90,0.94,-0.56,14.54,-20.58,10.29,83299258
6.41,6.17,-6.81,1.60,0.21,-0.10,14.19,-18.52,11.53,83299292
8.02,7.26,-2.68,1.78,0.31,-0.69,13.24,-16.27,11.62,83299327
5.86,7.45,-1.48,2.23,0.61,-1.14,13.17,-13.50,12.64,83299361
7.16,5.40,-2.99,1.73,0.40,-1.18,12.29,-10.96,12.58,83299395
18.27,-4.02,-3.88,2.89,1.11,-0.49,11.56,-8.16,12.79,83299429
16.28,-4.75,-2.88,4.82,2.17,-0.32,9.60,-3.04,12.10,83299463
7.23,-8.30,-0.58,6.94,2.65,-0.47,5.69,5.47,9.15,83299498
4.58,-8.74,-1.84,5.67,2.88,0.61,3.43,12.15,5.41,83299532
6.44,6.02,-11.52,5.19,1.91,2.18,3.00,16.82,1.49,83299566
8.05,6.17,-17.69,1.08,0.18,2.06,5.64,17.41,-1.13,83299600
8.74,7.18,-9.44,0.61,-0.07,0.54,7.25,18.01,-1.87,83299634
15.16,5.50,-3.16,1.82,0.42,-0.97,6.50,18.75,-3.70,83299668
