ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-9.88,2.23,-7.97,-3.05,3.04,-2.70,-37.36,-26.22,-30.82,46524
-7.95,-2.27,-10.81,-2.91,2.95,-2.85,-33.38,-28.35,-36.89,46558
-14.11,-1.55,0.06,-2.94,2.83,-3.15,-29.45,-29.64,-41.03,46592
-10.64,2.01,0.63,-3.60,3.68,-4.02,-22.38,-29.35,-47.68,46626
-10.24,3.57,-2.89,-4.00,4.16,-4.64,-15.33,-28.47,-53.04,46661
-5.60,6.22,-1.84,-3.29,3.16,-4.51,-7.95,-24.89,-55.26,46695
-5.30,10.17,-5.21,-2.84,2.64,-3.82,-1.27,-20.68,-57.86,46729
-5.46,10.28,-0.46,-2.73,2.35,-3.53,4.43,-16.28,-58.16,46763
-4.17,9.56,-5.09,-2.63,2.14,-2.93,8.84,-11.52,-58.27,46797
-10.05,5.04,-4.27,-2.74,2.25,-2.68,12.07,-7.04,-57.59,46832
-6.57,5.27,-5.73,-2.44,1.86,-2.23,14.38,-2.79,-55.32,46866
-6.54,4.64,-6.14,-2.98,2.37,-2.38,17.32,3.27,-52.84,46900
-6.97,4.20,-5.95,-3.33,2.84,-2.63,19.12,8.46,-49.71,46934
-4.00,5.41,-6.06,-3.76,3.37,-2.91,20.90,14.13,-44.52,46968
-4.48,4.53,-9.18,-4.39,4.17,-3.30,22.04,21.16,-35.98,47002
-8.47,3.42,-9.32,-4.63,4.28,-3.15,21.60,25.97,-28.81,47037
-8.68,1.70,-9.84,-4.35,3.80,-2.81,19.70,29.80,-18.82,47071
-14.12,-6.75,-7.19,-4.17,4.00,-2.81,16.05,31.51,-11.37,47105
-14.23,-4.73,-3.77,-3.07,2.84,-3.22,11.47,31.92,-6.24,47139
-9.81,2.00,-0.03,-2.72,2.73,-3.92,4.81,32.02,-0.42,47173
-5.77,6.62,-2.78,-2.75,2.87,-4.36,-2.24,31.45,2.72,47208
-4.42,6.93,-3.63,-2.93,2.88,-4.07,-10.33,29.00,6.61,47242
-5.64,8.41,-3.28,-3.57,3.33,-3.88,-16.30,25.12,8.42,47276
-7.41,5.06,-4.76,-3.70,3.37,-3.54,-22.62,20.56,9.49,47310
-9.25,3.42,-3.30,-3.12,2.70,-2.81,-27.65,14.26,9.79,47344
-4.71,6.21,-8.39,-2.68,2.25,-2.57,-31.70,9.84,9.50,47378
-2.35,8.19,-6.81,-3.07,2.63,-2.83,-34.54,4.90,7.95,47413
-6.15,4.63,-1.49,-3.65,3.14,-2.65,-38.48,-1.64,3.68,47447
-8.68,1.82,-5.94,-3.57,3.47,-2.72,-40.73,-6.91,0.00,47481
-11.42,0.17,-6.93,-2.71,2.57,-2.33,-41.80,-12.04,-5.25,47515
-9.32,1.14,-7.06,-2.01,1.91,-1.95,-42.18,-15.29,-9.12,47549
-6.17,4.25,-7.03,-2.60,2.27,-2.11,-41.77,-18.31,-13.12,47583
-9.73,1.23,-3.05,-4.05,3.83,-3.13,-40.75,-22.57,-20.58,47618
-12.33,-1.73,-10.35,-5.06,5.14,-4.50,-36.95,-26.86,-30.72,47652
-13.34,-2.90,-6.42,-4.64,4.76,-5.11,-31.10,-29.87,-39.80,47686
-8.51,2.78,0.67,-3.70,3.44,-4.95,-23.19,-30.78,-46.13,47720
-11.12,4.09,0.89,-4.09,3.95,-4.67,-15.42,-29.83,-51.27,47754
-8.87,2.87,-2.66,-3.98,3.67,-4.30,-6.62,-26.05,-54.76,47789
-11.08,5.49,-2.20,-3.46,3.15,-3.95,-0.32,-21.78,-56.56,47823
-5.75,8.12,-1.52,-2.84,2.55,-3.59,5.51,-17.26,-58.20,47857
-4.29,9.67,-8.58,-2.57,1.99,-3.11,10.08,-12.48,-57.40,47891
-10.49,5.36,-3.01,-2.53,1.89,-2.63,13.39,-7.72,-57.28,47925
-3.06,8.83,-3.24,-2.24,1.61,-2.30,16.00,-2.94,-55.35,47959
-7.69,5.32,-4.79,-2.32,1.70,-1.95,17.79,1.93,-53.39,47994
-5.52,4.89,-6.03,-2.39,1.81,-1.82,19.32,5.63,-51.14,48028
-5.43,4.49,-9.32,-2.73,2.27,-1.95,21.29,10.36,-47.84,48062
-7.46,2.77,-8.41,-2.87,2.31,-2.04,22.46,14.51,-43.99,48096
-8.09,2.01,-5.86,-2.77,2.02,-1.87,23.43,18.05,-39.40,48130
-8.75,1.60,-6.58,-3.47,3.00,-2.09,23.69,23.11,-33.70,48165
-8.02,1.34,-8.96,-4.82,4.37,-2.71,22.60,27.07,-25.52,48199
-14.04,-4.91,-9.21,-4.96,4.79,-3.58,19.28,30.63,-13.69,48233
-12.03,-1.38,-3.86,-3.46,3.19,-4.12,13.40,32.33,-7.34,48267
-6.79,3.00,-2.57,-3.15,2.88,-4.57,7.07,32.64,-2.32,48301
-7.43,6.04,1.36,-4.12,3.95,-4.94,-2.22,31.58,4.40,48335
-8.77,6.26,-4.68,-4.58,4.10,-4.69,-10.92,28.11,8.16,48370
-9.52,-1.23,-4.46,-4.88,4.14,-4.26,-20.10,21.73,11.18,48404
-15.76,-1.02,-1.34,-3.89,3.29,-3.64,-26.19,15.58,11.37,48438
-5.78,4.77,-1.12,-2.41,1.84,-3.12,-29.79,10.52,11.37,48472
-4.24,7.42,-4.40,-1.92,1.32,-2.90,-33.24,5.52,9.12,48506
-2.01,10.23,-2.77,-2.20,1.52,-2.59,-35.06,0.73,9.05,48541
-5.04,6.22,-7.59,-2.39,1.58,-2.54,-37.04,-4.44,6.65,48575
-7.37,4.45,-6.18,-2.59,1.62,-2.56,-37.61,-9.75,4.60,48609
-9.67,1.44,-5.23,-2.02,0.95,-2.05,-38.28,-14.28,2.63,48643
-9.99,3.05,-4.19,-1.72,0.69,-1.79,-38.32,-17.79,0.79,48677
-10.56,3.67,-2.05,-2.27,1.31,-1.75,-38.26,-21.00,-2.28,48711
-8.69,4.13,-4.89,-3.02,2.31,-1.90,-38.13,-24.29,-5.86,48746
-10.92,2.06,-3.79,-3.03,2.40,-1.80,-37.75,-27.40,-11.72,48780
-8.81,3.24,-5.38,-2.21,1.70,-1.32,-37.14,-29.51,-15.83,48814
-8.35,3.85,-2.47,-0.91,0.38,-0.66,-35.98,-30.50,-18.91,48848
-5.70,6.55,-4.07,-0.09,-0.30,-0.31,-35.88,-30.90,-18.75,48882
-5.15,7.29,-5.45,-0.17,-0.23,-0.30,-35.79,-31.03,-18.96,48916
-3.69,6.54,-6.31,-0.42,-0.08,-0.43,-35.59,-31.39,-18.93,48951
-6.03,1.83,-8.55,-0.87,0.42,-0.80,-35.15,-32.26,-19.73,48985
-7.14,-0.69,-7.61,-1.37,0.58,-1.21,-34.52,-33.21,-21.84,49019
-6.43,-0.25,-7.35,-1.94,1.06,-1.51,-32.67,-34.58,-25.62,49053
-8.06,0.48,-5.86,-3.17,2.31,-2.25,-30.69,-36.16,-29.90,49087
-8.50,1.02,-8.52,-4.31,3.53,-2.96,-25.75,-36.32,-38.10,49122
-12.68,-1.36,-6.61,-5.06,4.37,-3.30,-19.86,-34.55,-45.13,49156
-8.54,1.23,-6.80,-5.60,5.07,-3.64,-12.03,-31.19,-52.41,49190
-12.76,0.64,-7.25,-5.68,5.28,-3.90,-1.56,-23.82,-57.60,49224
-11.21,1.92,-4.72,-5.35,4.81,-3.94,7.19,-15.78,-58.45,49258
-14.06,1.16,-2.32,-4.78,4.60,-4.04,14.09,-8.27,-56.61,49292
-11.55,0.54,-2.84,-4.17,4.25,-4.16,20.34,1.48,-52.59,49327
-6.32,4.99,-3.49,-3.08,3.01,-4.07,21.91,8.37,-48.26,49361
